Time,nC,r5,r6,nCmfe5,ac,ac5,zz,zz5,fe,fe5,bay5,bay5l,bay6,bay6l,other,growth rate,fR5,bifurcations
0.00038038038038,24.0666666667,0.0333333333333,7.0,24.0,0.0,0.0,5.96666666667,0.0666666666667,5.93333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.000385385385385,24.0666666667,0.0333333333333,7.0,24.0,0.0,0.0,5.96666666667,0.0666666666667,5.93333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.00039039039039,24.1333333333,0.0666666666667,7.0,24.0,0.0,0.0,5.93333333333,0.133333333333,5.86666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.000395395395395,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.0004004004004,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.000405405405405,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.00041041041041,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.000415415415415,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.00042042042042,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,932.4,0.0,0.0
0.000425425425425,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00043043043043,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.000435435435435,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00044044044044,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.000445445445445,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1065.6,0.0,0.0
0.00045045045045,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.000455455455455,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00046046046046,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.000465465465465,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00047047047047,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.000475475475475,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.00048048048048,24.2666666667,0.133333333333,7.0,24.0,0.0,0.0,5.86666666667,0.266666666667,5.73333333333,0.133333333333,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0
0.000485485485485,24.3333333333,0.166666666667,7.0,24.0,0.0,0.0,5.83333333333,0.333333333333,5.66666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,1598.4,0.0,0.0
